order_id,product_name,category,brand,city,quantity,price,order_status,total_sales
1,Formal Shirt,Shirts,ClassicWear,Bangalore,2,1199,Cancelled,2398
2,Floral Summer Dress,Dresses,FashionHub,Kolkata,5,1799,Shipped,8995
3,Bodycon Dress,Dresses,FashionHub,Kolkata,1,1999,Delivered,1999
4,Palazzo Pants,Pants,EthnicStyle,Bangalore,4,1099,Cancelled,4396
5,Wide Leg Jeans,Jeans,DenimCo,Delhi,4,1699,Processing,6796
6,Hoodie,Winter Wear,StreetWear,Mumbai,4,1599,Shipped,6396
7,Bodycon Dress,Dresses,FashionHub,Bangalore,3,1999,Shipped,5997
8,Denim Jacket,Jackets,DenimCo,Hyderabad,5,2499,Shipped,12495
9,Formal Shirt,Shirts,ClassicWear,Hyderabad,2,1199,Delivered,2398
10,Casual Kurti,Ethnic Wear,EthnicStyle,Mumbai,4,1399,Shipped,5596
11,Cargo Pants,Pants,StreetWear,Kolkata,3,1299,Delivered,3897
12,Formal Shirt,Shirts,ClassicWear,Ahmedabad,1,1199,Delivered,1199
13,Wide Leg Jeans,Jeans,DenimCo,Kolkata,4,1699,Cancelled,6796
14,Wide Leg Jeans,Jeans,DenimCo,Pune,5,1699,Cancelled,8495
15,Hoodie,Winter Wear,StreetWear,Ahmedabad,5,1599,Cancelled,7995
16,Denim Jacket,Jackets,DenimCo,Pune,3,2499,Cancelled,7497
17,Floral Summer Dress,Dresses,FashionHub,Ahmedabad,4,1799,Delivered,7196
18,Hoodie,Winter Wear,StreetWear,Kolkata,2,1599,Shipped,3198
19,Hoodie,Winter Wear,StreetWear,Bangalore,3,1599,Cancelled,4797
20,Cargo Pants,Pants,StreetWear,Kolkata,3,1299,Shipped,3897
21,Crop Top,Tops,UrbanStyle,Chennai,2,699,Shipped,1398
22,Denim Jacket,Jackets,DenimCo,Hyderabad,5,2499,Processing,12495
23,Slim Fit Jeans,Jeans,DenimCo,Kolkata,1,1499,Delivered,1499
24,Hoodie,Winter Wear,StreetWear,Mumbai,1,1599,Shipped,1599
25,Graphic T-Shirt,T-Shirts,UrbanStyle,Pune,1,899,Shipped,899
26,Bomber Jacket,Jackets,StreetWear,Ahmedabad,1,2799,Delivered,2799
27,Crop Top,Tops,UrbanStyle,Bangalore,5,699,Cancelled,3495
28,Slim Fit Jeans,Jeans,DenimCo,Pune,5,1499,Cancelled,7495
29,Graphic T-Shirt,T-Shirts,UrbanStyle,Hyderabad,5,899,Delivered,4495
30,Denim Jacket,Jackets,DenimCo,Kolkata,3,2499,Shipped,7497
31,Oversized T-Shirt,T-Shirts,UrbanStyle,Chennai,3,799,Shipped,2397
32,Graphic T-Shirt,T-Shirts,UrbanStyle,Chennai,1,899,Shipped,899
33,Casual Kurti,Ethnic Wear,EthnicStyle,Chennai,4,1399,Processing,5596
34,Crop Top,Tops,UrbanStyle,Hyderabad,1,699,Shipped,699
35,Bodycon Dress,Dresses,FashionHub,Chennai,4,1999,Cancelled,7996
36,Graphic T-Shirt,T-Shirts,UrbanStyle,Mumbai,2,899,Cancelled,1798
37,Pleated Skirt,Skirts,FashionHub,Pune,5,999,Cancelled,4995
38,Oversized T-Shirt,T-Shirts,UrbanStyle,Hyderabad,1,799,Shipped,799
39,Wide Leg Jeans,Jeans,DenimCo,Pune,5,1699,Shipped,8495
40,Wide Leg Jeans,Jeans,DenimCo,Hyderabad,2,1699,Delivered,3398
41,Palazzo Pants,Pants,EthnicStyle,Mumbai,4,1099,Cancelled,4396
42,Casual Kurti,Ethnic Wear,EthnicStyle,Mumbai,2,1399,Processing,2798
43,Graphic T-Shirt,T-Shirts,UrbanStyle,Ahmedabad,2,899,Delivered,1798
44,Graphic T-Shirt,T-Shirts,UrbanStyle,Chennai,5,899,Cancelled,4495
45,Palazzo Pants,Pants,EthnicStyle,Bangalore,2,1099,Cancelled,2198
46,Bomber Jacket,Jackets,StreetWear,Kolkata,3,2799,Cancelled,8397
47,Bomber Jacket,Jackets,StreetWear,Mumbai,4,2799,Processing,11196
48,Palazzo Pants,Pants,EthnicStyle,Bangalore,4,1099,Delivered,4396
49,Bomber Jacket,Jackets,StreetWear,Delhi,5,2799,Processing,13995
50,Cargo Pants,Pants,StreetWear,Kolkata,5,1299,Processing,6495
51,Graphic T-Shirt,T-Shirts,UrbanStyle,Bangalore,1,899,Cancelled,899
52,Formal Shirt,Shirts,ClassicWear,Delhi,2,1199,Cancelled,2398
53,Floral Summer Dress,Dresses,FashionHub,Chennai,5,1799,Cancelled,8995
54,Pleated Skirt,Skirts,FashionHub,Chennai,2,999,Processing,1998
55,Cargo Pants,Pants,StreetWear,Delhi,2,1299,Processing,2598
56,Denim Jacket,Jackets,DenimCo,Mumbai,1,2499,Cancelled,2499
57,Cargo Pants,Pants,StreetWear,Mumbai,5,1299,Shipped,6495
58,Formal Shirt,Shirts,ClassicWear,Hyderabad,2,1199,Shipped,2398
59,Denim Jacket,Jackets,DenimCo,Bangalore,3,2499,Processing,7497
60,Pleated Skirt,Skirts,FashionHub,Mumbai,4,999,Delivered,3996
61,Formal Shirt,Shirts,ClassicWear,Chennai,2,1199,Processing,2398
62,Slim Fit Jeans,Jeans,DenimCo,Ahmedabad,5,1499,Cancelled,7495
63,Floral Summer Dress,Dresses,FashionHub,Chennai,1,1799,Delivered,1799
64,Pleated Skirt,Skirts,FashionHub,Kolkata,1,999,Shipped,999
65,Graphic T-Shirt,T-Shirts,UrbanStyle,Bangalore,5,899,Cancelled,4495
66,Bomber Jacket,Jackets,StreetWear,Bangalore,3,2799,Processing,8397
67,Slim Fit Jeans,Jeans,DenimCo,Mumbai,4,1499,Delivered,5996
68,Casual Kurti,Ethnic Wear,EthnicStyle,Kolkata,5,1399,Delivered,6995
69,Pleated Skirt,Skirts,FashionHub,Pune,5,999,Delivered,4995
70,Casual Kurti,Ethnic Wear,EthnicStyle,Bangalore,3,1399,Shipped,4197
71,Denim Jacket,Jackets,DenimCo,Bangalore,1,2499,Shipped,2499
72,Slim Fit Jeans,Jeans,DenimCo,Ahmedabad,4,1499,Delivered,5996
73,Floral Summer Dress,Dresses,FashionHub,Delhi,5,1799,Processing,8995
74,Graphic T-Shirt,T-Shirts,UrbanStyle,Kolkata,1,899,Cancelled,899
75,Palazzo Pants,Pants,EthnicStyle,Bangalore,5,1099,Processing,5495
76,Graphic T-Shirt,T-Shirts,UrbanStyle,Bangalore,4,899,Processing,3596
77,Formal Shirt,Shirts,ClassicWear,Hyderabad,4,1199,Processing,4796
78,Graphic T-Shirt,T-Shirts,UrbanStyle,Delhi,4,899,Shipped,3596
79,Bodycon Dress,Dresses,FashionHub,Chennai,5,1999,Processing,9995
80,Hoodie,Winter Wear,StreetWear,Bangalore,4,1599,Cancelled,6396
81,Palazzo Pants,Pants,EthnicStyle,Chennai,3,1099,Cancelled,3297
82,Cargo Pants,Pants,StreetWear,Pune,5,1299,Cancelled,6495
83,Bomber Jacket,Jackets,StreetWear,Pune,1,2799,Delivered,2799
84,Oversized T-Shirt,T-Shirts,UrbanStyle,Mumbai,5,799,Shipped,3995
85,Floral Summer Dress,Dresses,FashionHub,Chennai,2,1799,Processing,3598
86,Slim Fit Jeans,Jeans,DenimCo,Delhi,5,1499,Processing,7495
87,Hoodie,Winter Wear,StreetWear,Pune,2,1599,Cancelled,3198
88,Floral Summer Dress,Dresses,FashionHub,Mumbai,1,1799,Shipped,1799
89,Slim Fit Jeans,Jeans,DenimCo,Bangalore,4,1499,Delivered,5996
90,Bomber Jacket,Jackets,StreetWear,Ahmedabad,5,2799,Shipped,13995
91,Crop Top,Tops,UrbanStyle,Mumbai,1,699,Processing,699
92,Crop Top,Tops,UrbanStyle,Mumbai,2,699,Delivered,1398
93,Casual Kurti,Ethnic Wear,EthnicStyle,Chennai,5,1399,Shipped,6995
94,Floral Summer Dress,Dresses,FashionHub,Ahmedabad,3,1799,Cancelled,5397
95,Crop Top,Tops,UrbanStyle,Bangalore,5,699,Shipped,3495
96,Bodycon Dress,Dresses,FashionHub,Bangalore,4,1999,Processing,7996
97,Palazzo Pants,Pants,EthnicStyle,Chennai,1,1099,Cancelled,1099
98,Slim Fit Jeans,Jeans,DenimCo,Hyderabad,4,1499,Cancelled,5996
99,Casual Kurti,Ethnic Wear,EthnicStyle,Chennai,3,1399,Cancelled,4197
100,Graphic T-Shirt,T-Shirts,UrbanStyle,Mumbai,3,899,Shipped,2697
101,Slim Fit Jeans,Jeans,DenimCo,Pune,3,1499,Shipped,4497
102,Casual Kurti,Ethnic Wear,EthnicStyle,Chennai,3,1399,Delivered,4197
103,Bomber Jacket,Jackets,StreetWear,Kolkata,2,2799,Shipped,5598
104,Floral Summer Dress,Dresses,FashionHub,Kolkata,2,1799,Cancelled,3598
105,Bomber Jacket,Jackets,StreetWear,Pune,5,2799,Delivered,13995
106,Palazzo Pants,Pants,EthnicStyle,Delhi,1,1099,Delivered,1099
107,Palazzo Pants,Pants,EthnicStyle,Hyderabad,4,1099,Delivered,4396
108,Hoodie,Winter Wear,StreetWear,Bangalore,4,1599,Delivered,6396
109,Bomber Jacket,Jackets,StreetWear,Hyderabad,1,2799,Delivered,2799
110,Formal Shirt,Shirts,ClassicWear,Kolkata,2,1199,Delivered,2398
111,Graphic T-Shirt,T-Shirts,UrbanStyle,Chennai,5,899,Processing,4495
112,Pleated Skirt,Skirts,FashionHub,Ahmedabad,5,999,Shipped,4995
113,Bomber Jacket,Jackets,StreetWear,Delhi,5,2799,Cancelled,13995
114,Hoodie,Winter Wear,StreetWear,Kolkata,5,1599,Processing,7995
115,Denim Jacket,Jackets,DenimCo,Kolkata,3,2499,Delivered,7497
116,Bodycon Dress,Dresses,FashionHub,Pune,2,1999,Delivered,3998
117,Slim Fit Jeans,Jeans,DenimCo,Hyderabad,1,1499,Processing,1499
118,Palazzo Pants,Pants,EthnicStyle,Chennai,1,1099,Shipped,1099
119,Denim Jacket,Jackets,DenimCo,Ahmedabad,3,2499,Processing,7497
120,Hoodie,Winter Wear,StreetWear,Delhi,1,1599,Cancelled,1599
121,Casual Kurti,Ethnic Wear,EthnicStyle,Ahmedabad,2,1399,Cancelled,2798
122,Pleated Skirt,Skirts,FashionHub,Ahmedabad,4,999,Cancelled,3996
123,Graphic T-Shirt,T-Shirts,UrbanStyle,Ahmedabad,5,899,Shipped,4495
124,Graphic T-Shirt,T-Shirts,UrbanStyle,Kolkata,4,899,Shipped,3596
125,Graphic T-Shirt,T-Shirts,UrbanStyle,Kolkata,2,899,Shipped,1798
126,Bodycon Dress,Dresses,FashionHub,Kolkata,4,1999,Delivered,7996
127,Pleated Skirt,Skirts,FashionHub,Kolkata,1,999,Cancelled,999
128,Bodycon Dress,Dresses,FashionHub,Hyderabad,3,1999,Processing,5997
129,Palazzo Pants,Pants,EthnicStyle,Bangalore,1,1099,Delivered,1099
130,Bodycon Dress,Dresses,FashionHub,Kolkata,5,1999,Delivered,9995
131,Oversized T-Shirt,T-Shirts,UrbanStyle,Ahmedabad,4,799,Delivered,3196
132,Pleated Skirt,Skirts,FashionHub,Hyderabad,5,999,Processing,4995
133,Formal Shirt,Shirts,ClassicWear,Hyderabad,5,1199,Shipped,5995
134,Pleated Skirt,Skirts,FashionHub,Ahmedabad,3,999,Delivered,2997
135,Hoodie,Winter Wear,StreetWear,Mumbai,1,1599,Shipped,1599
136,Oversized T-Shirt,T-Shirts,UrbanStyle,Delhi,2,799,Delivered,1598
137,Graphic T-Shirt,T-Shirts,UrbanStyle,Pune,5,899,Cancelled,4495
138,Hoodie,Winter Wear,StreetWear,Hyderabad,1,1599,Delivered,1599
139,Hoodie,Winter Wear,StreetWear,Ahmedabad,2,1599,Processing,3198
140,Palazzo Pants,Pants,EthnicStyle,Delhi,1,1099,Delivered,1099
141,Wide Leg Jeans,Jeans,DenimCo,Pune,2,1699,Delivered,3398
142,Cargo Pants,Pants,StreetWear,Delhi,3,1299,Delivered,3897
143,Oversized T-Shirt,T-Shirts,UrbanStyle,Bangalore,5,799,Shipped,3995
144,Hoodie,Winter Wear,StreetWear,Delhi,1,1599,Processing,1599
145,Cargo Pants,Pants,StreetWear,Chennai,1,1299,Cancelled,1299
146,Cargo Pants,Pants,StreetWear,Bangalore,4,1299,Delivered,5196
147,Oversized T-Shirt,T-Shirts,UrbanStyle,Hyderabad,5,799,Processing,3995
148,Wide Leg Jeans,Jeans,DenimCo,Pune,5,1699,Delivered,8495
149,Denim Jacket,Jackets,DenimCo,Chennai,5,2499,Shipped,12495
150,Casual Kurti,Ethnic Wear,EthnicStyle,Delhi,2,1399,Delivered,2798
151,Formal Shirt,Shirts,ClassicWear,Hyderabad,5,1199,Delivered,5995
152,Casual Kurti,Ethnic Wear,EthnicStyle,Delhi,1,1399,Delivered,1399
153,Pleated Skirt,Skirts,FashionHub,Kolkata,5,999,Shipped,4995
154,Graphic T-Shirt,T-Shirts,UrbanStyle,Bangalore,1,899,Cancelled,899
155,Formal Shirt,Shirts,ClassicWear,Kolkata,2,1199,Processing,2398
156,Pleated Skirt,Skirts,FashionHub,Mumbai,2,999,Shipped,1998
